,stop_id,stop_lat,stop_lon,Number of Stops,City,State
5117,14106.0,41.418552000000005,-81.818473,12,,
4699,11368.0,41.418397999999996,-81.79590400000001,12,,
5113,14102.0,41.41839,-81.78416800000001,12,,
5115,14104.0,41.418372999999995,-81.761484,12,,
4698,11367.0,41.418368,-81.798478,12,,
5116,14105.0,41.41843,-81.743404,12,,
783,2494.0,41.418393,-81.79021800000001,12,,
795,2512.0,41.418723,-81.718528,12,,
766,2471.0,41.418408,-81.757952,12,,
767,2475.0,41.418445,-81.752339,12,,
771,2479.0,41.418577,-81.734663,12,,
774,2482.0,41.41881,-81.713284,12,,
776,2484.0,41.418409000000004,-81.80346999999999,12,,
777,2485.0,41.418858,-81.710604,12,,
86,333.0,41.418493,-81.806085,12,,
800,2517.0,41.418515,-81.742071,12,,
779,2488.0,41.418355,-81.77885,12,,
659,2250.0,41.418531,-81.81107800000001,12,,
4819,11819.0,41.418356,-81.781435,12,,
4520,11042.0,41.418366,-81.775113,12,,
4521,11043.0,41.418363,-81.772859,12,,
781,2492.0,41.418391,-81.786523,12,,
784,2496.0,41.418394,-81.792262,12,,
787,2501.0,41.418554,-81.813898,12,,
90,341.0,41.418514,-81.80731,12,,
769,2477.0,41.418614,-81.728799,12,,
5318,14380.0,41.499899,-81.67486,12,,
465,1747.0,41.418593,-81.736255,12,,
478,1787.0,41.418544,-81.740498,12,,
350,1301.0,41.418766999999995,-81.715734,12,,
474,1770.0,41.418547,-81.738646,12,,
5319,14381.0,41.499936,-81.674497,12,,
5316,14378.0,41.499997,-81.674867,12,,
489,1853.0,41.418490000000006,-81.746394,12,,
791,2507.0,41.418981,-81.703427,13,,
4315,10456.0,41.463694,-81.950413,13,,
789,2503.0,41.419061,-81.698813,13,,
1273,3660.0,41.47181,-81.60283199999999,14,,
1258,3642.0,41.453691,-81.602613,14,,
1292,3682.0,41.463884,-81.602932,14,,
1759,4895.0,41.50103,-81.519152,14,,
1264,3650.0,41.484956,-81.602828,14,,
1263,3647.0,41.480845,-81.602875,14,,
1272,3658.0,41.485898,-81.60283000000001,14,,
5218,14250.0,41.524149,-81.633673,14,,
1525,4180.0,41.506582,-81.63359399999999,14,,
1275,3663.0,41.477958,-81.602839,14,,
